Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Tom Wilson,32,TOR,AL,96,287,256,37,66,19,0,5,35,0,0,28,80,0.258,0.331,0.391,0.722,100,4,1,0,2,0
Vance Wilson,30,NYM,NL,96,292,268,28,65,9,1,8,39,1,2,15,56,0.243,0.293,0.373,0.6659999999999999,100,6,5,2,2,1
Randy Winn,29,SEA,AL,157,660,600,103,177,37,4,11,75,23,5,41,108,0.295,0.34600000000000003,0.425,0.7709999999999999,255,9,8,6,5,0
Jay Witasick,30,SDP,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Kevin Witt,27,DET,AL,93,289,270,25,71,9,0,10,26,1,1,15,68,0.263,0.301,0.40700000000000003,0.708,110,5,1,0,3,0
Randy Wolf,26,PHI,NL,33,82,70,9,14,6,0,0,11,0,0,5,22,0.2,0.25,0.28600000000000003,0.536,20,1,0,6,1,0
Tony Womack,33,CHC,NL,21,52,51,4,12,2,1,0,2,2,1,1,11,0.235,0.25,0.314,0.564,16,0,0,0,0,0
Kerry Wood,26,CHC,NL,30,70,61,4,10,1,0,2,6,0,0,1,26,0.16399999999999998,0.177,0.27899999999999997,0.456,17,1,0,8,0,0
Chris Woodward,27,TOR,AL,104,386,349,49,91,22,2,7,45,1,2,28,72,0.261,0.316,0.395,0.711,138,6,3,0,6,0
Shawn Wooten,30,ANA,AL,98,300,272,25,66,8,0,7,32,0,4,24,45,0.243,0.303,0.349,0.653,95,7,1,0,3,5
Tim Worrell,35,SFG,NL,73,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Dan Wright,25,CHW,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Jaret Wright,27,ATL,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Kelly Wunsch,30,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Esteban Yan,28,STL,NL,35,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0
Dmitri Young,29,DET,AL,155,635,562,78,167,34,7,29,85,2,1,58,130,0.297,0.37200000000000005,0.537,0.909,302,16,11,0,4,16
Eric Young Sr.,36,SFG,NL,26,82,71,9,14,2,0,0,3,3,5,9,10,0.19699999999999998,0.293,0.225,0.518,16,3,1,0,1,0
Ernie Young,33,DET,AL,5,15,11,0,2,0,0,0,0,0,2,4,5,0.182,0.4,0.182,0.5820000000000001,2,1,0,0,0,0
Jason Young,23,COL,NL,8,8,7,1,2,1,0,0,0,0,0,1,1,0.28600000000000003,0.375,0.429,0.804,3,0,0,0,0,0
Kevin Young,34,PIT,NL,52,96,84,8,17,4,0,2,7,1,0,12,25,0.20199999999999999,0.302,0.321,0.624,27,1,0,0,0,0
Michael Young,26,TEX,AL,160,713,666,106,204,33,9,14,72,13,2,36,103,0.306,0.33899999999999997,0.446,0.785,297,14,1,3,7,1
Carlos Zambrano,22,CHC,NL,30,80,75,9,18,5,0,2,6,0,0,1,26,0.24,0.25,0.387,0.637,29,2,0,4,0,0
Victor Zambrano,27,TBD,AL,2,5,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,2,0,0
Gregg Zaun,32,COL,NL,15,51,46,6,12,1,0,3,8,0,1,5,7,0.261,0.33299999999999996,0.478,0.812,22,0,0,0,0,0
Todd Zeile,37,MON,NL,34,127,113,11,29,2,2,5,19,1,0,10,18,0.257,0.331,0.442,0.773,50,3,3,0,1,0
Chad Zerbe,31,SFG,NL,30,6,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,1,0,0
Barry Zito,25,OAK,AL,2,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Peter Zoccolillo,26,MIL,NL,20,39,37,0,4,1,0,0,3,0,0,2,13,0.10800000000000001,0.154,0.135,0.289,5,1,0,0,0,0
